730, Alex Algard
736, Lewis Frankfort
737, Mitchell Krebs
743, Chou
744, Mikhail Khodorkovsky
753, Tim Clark
754, Lloyd BlankfeinIt
757, Of NQ
758, Carson Block
761, Robert Greifeld
765, Jeremy StoppelmanYelp
773, Peter Arduini
774, Greg Johnsonblamed
777, Brady Dougan
780, Forum
781, Stephen Hester
784, Laurence
785, Jason GoldbergFab
793, Lyndon Rive
796, Cole Wilcox
799, Bobby Lee
803, John Mackey
807, Avishai Abrahami
810, Van Houten
811, Bill Ruprecht
813, Marissa Mayers
815, Dick CostoloTraders
817, NetFlix
818, Yahoo
824, Eric Major
826, Mike Perlis
827, Sarah LacyThe
828, Sarah Lacy
833, Steve Jobs
835, Justin Smith
840, Zuckerberg
842, Severin Schwan
848, Jack Welch
853, Kris Henriksen
858, Stan
859, Evan Spiegel
860, John Chen
861, Chris Nasetta
863, Ken Griffin
865, Michael Jefferies
868, Su
869, Ted Marlow
870, Martin Blessing
875, Jeff Gundlach
877, Matt Kibbe
878, Rob
879, Richard Anderson
880, Roger Dow
881, Don Basile
882, Sony Pictures
883, Jan Koum
888, Tom Long
889, John Hall
898, John
900, John Legere
904, Jerry Yang
909, Ronald Williams
912, Lucas Duplan
914, Barry Silbert
915, Chris Grant
919, William Conway
920, Mike West
921, Dr
922, Appearance
923, Dennis Kozlowski
925, Alan Mulallyis
926, Stephen Elop
930, Brady DouganNEW
931, Bill McNabb
933, Edward Lampert
934, Lowell McAdam
935, Dan Hesse
936, Ev Williams
938, Fritz Henderson
939, Ed Whitacre
947, Brady DouganCredit
949, Gregg Steinhafelsaid
950, Paul Wright
952, Jamie DimonJPMorgan
954, Ron Johnsonwas
957, Moyninhan
966, Lloyd BlankfeinSome
971, Paul Maritz
973, Ben
976, Paul Galant
978, Drew Houston
979, Bre Pettis
980, Satoru Iwata
981, Peter Hans
983, Mary Barra
984, Andrew Liveris
985, Indra Nooyi
987, Paul Jacobs
990, John DonahoeeBay
992, Robert Hanson
996, Lew Frankfort
998, Victor Luis
999, Jonnie Williams
1001, Rometty
1006, Oberhelman
1009, Frederic Oudea
1010, Thomas
1018, Charlie Shrem
1020, BlackRock
1033, Andy Russell
1035, Anand Nallathambi
1037, Fujio Mitarai
1041, Charlie Scharf
1044, Pamela Liebman
1046, Jamie Dimonalso
1054, Broadridge
1055, Frank Addante
1056, Peter Cressy
1060, Aaron Levie
1062, Muhtar Kent
1063, Brian McAndrews
1068, Jeremy Stoppelman
1069, Ari Reichental
1073, Avi Reichental
1075, Larry
1082, Tim
1084, Ross McEwan
1085, Scott Farquhar
1086, Enrique Salem
1088, Lanham Napier
1091, Brian RobertsComcast
1092, John ChambersCisco
1094, Paul Whetsell
1095, QUALITIES Morgan
1096, Fleming
1098, Satya Nadella
1100, Brian Roberts
1102, Robert Marcus
1105, Neil Smit
1106, Mark Karpeles
1108, Marcus
1109, Roberts
1110, Bill Chaaban
1116, Torsten Mller
1117, Eric Lefkofsky
1118, Joshua Brown
1120, Josh Reich
1126, Dan Frommer
1131, Mr
1132, Mark KarpelesMtGox
1138, Alan Joyce
1145, Shawn
1147, Donahoe
1153, Warren BuffettWarren
1156, Stollmann
1158, James Debney
1159, Mark KarpelesLast
1161, Joseph Magnacca
1164, Rob Flaherty
1166, Autumn Radtke
1167, Scott Heiferman
